short_term,long_term,price_range,amp_window,increase_holding,decrease_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,CV r2
10.0,15.0,7.0,25.0,4000.0,250.0,5.0,0.5,0.005,,-3.75735002468059,-2.6267246155767143,,,,,,,,-2.816803748323259
10.0,50.0,3.0,25.0,250.0,250.0,15.0,0.5,0.04,,-6.454669690952718,-6.114822763687792,,,,,,,,-5.228596591256066
10.0,50.0,10.0,150.0,4000.0,250.0,5.0,3.0,0.04,,-2.8065634035126936,-6.4998326385135385,,,,,,,,-4.8258659603420035
6.0,35.0,7.0,25.0,250.0,250.0,5.0,0.5,0.005,,-0.24638360817577634,-0.16946610423075564,,,,,,,,-0.29733225645284683
10.0,50.0,7.0,25.0,250.0,250.0,15.0,3.0,0.005,,-0.02432120411922223,-0.0379594365955139,,,,,,,,-0.0042128627868269234
6.0,50.0,10.0,25.0,250.0,4000.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,35.0,10.0,150.0,250.0,4000.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,35.0,10.0,25.0,4000.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,15.0,7.0,25.0,250.0,250.0,15.0,3.0,0.04,,0.015258968683858454,-0.49248090886865387,,,,,,,,-0.261209073625654
6.0,50.0,3.0,25.0,4000.0,4000.0,5.0,0.5,0.04,,-7.7304883958305215,-11.323025646225114,,,,,,,,-5.830034863553055
10.0,35.0,10.0,25.0,250.0,4000.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
2.0,15.0,10.0,25.0,4000.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,35.0,3.0,150.0,4000.0,250.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
2.0,35.0,10.0,25.0,4000.0,4000.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,15.0,3.0,150.0,4000.0,4000.0,15.0,3.0,0.005,,-7.998295788997557,-5.733628646907437,,,,,,,,-4.934586057342993
10.0,15.0,3.0,150.0,250.0,250.0,5.0,3.0,0.04,,0.0,0.0,,,,,,,,0.0
6.0,50.0,7.0,150.0,250.0,250.0,15.0,0.5,0.005,,-0.24638360817577634,-0.16946610423075564,,,,,,,,-0.3805542482286832
2.0,50.0,10.0,25.0,4000.0,250.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,7.0,25.0,4000.0,250.0,5.0,3.0,0.04,,-4.150945434889318,-0.21628328090728743,,,,,,,,-2.017843182329451
2.0,15.0,10.0,150.0,250.0,4000.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,35.0,7.0,25.0,250.0,250.0,5.0,3.0,0.005,,-0.02432120411922223,-0.0379594365955139,,,,,,,,-0.014881102346664923
10.0,15.0,10.0,150.0,250.0,4000.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,7.0,150.0,4000.0,250.0,15.0,0.5,0.04,,-5.63115404686295,-6.08346459835613,,,,,,,,-4.8602523403621065
10.0,15.0,3.0,150.0,250.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
10.0,35.0,7.0,25.0,250.0,250.0,15.0,3.0,0.04,,-0.38399613364598645,-0.7646407887947559,,,,,,,,-0.5739196226438094
6.0,35.0,10.0,25.0,4000.0,250.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
10.0,35.0,7.0,150.0,250.0,250.0,5.0,3.0,0.04,,-0.2498122094348335,-0.7750405005324774,,,,,,,,-1.1850116513301034
6.0,15.0,7.0,25.0,4000.0,250.0,5.0,0.5,0.005,,-3.75735002468059,-2.6267246155767143,,,,,,,,-2.908234751388726
2.0,35.0,3.0,150.0,250.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,50.0,7.0,25.0,250.0,4000.0,15.0,3.0,0.005,,-0.3708983628181377,-0.5883712672304664,,,,,,,,-0.14181974222177493
6.0,15.0,3.0,150.0,4000.0,4000.0,15.0,0.5,0.04,,-5.865425982702326,-4.94116240950438,,,,,,,,-4.718458839498572
6.0,50.0,7.0,150.0,250.0,4000.0,15.0,0.5,0.04,,-1.8839791032929745,-0.8440845957110638,,,,,,,,-2.5808267656538315
2.0,35.0,10.0,150.0,250.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,10.0,25.0,250.0,250.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,50.0,3.0,150.0,4000.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,50.0,3.0,150.0,4000.0,4000.0,5.0,0.5,0.04,,0.0,0.0,,,,,,,,0.0
2.0,50.0,3.0,150.0,4000.0,4000.0,5.0,3.0,0.04,,0.0,0.0,,,,,,,,0.0
10.0,15.0,7.0,150.0,4000.0,250.0,15.0,3.0,0.005,,-3.75735002468059,-2.6267246155767143,,,,,,,,-2.816803748323259
2.0,50.0,3.0,150.0,4000.0,250.0,15.0,3.0,0.04,,-8.724168227015902,-8.152910298764828,,,,,,,,-6.590322112167075
2.0,50.0,3.0,25.0,4000.0,250.0,15.0,0.5,0.005,,-10.495072825528105,-7.653124573731443,,,,,,,,-5.9708614282775745
2.0,15.0,10.0,25.0,4000.0,250.0,5.0,3.0,0.04,,-2.6005297444115887,-5.284277282527832,,,,,,,,-2.6230601557522015
2.0,35.0,7.0,150.0,4000.0,4000.0,15.0,3.0,0.04,,-11.514865132071712,-3.2197926454683907,,,,,,,,-5.444917012845222
10.0,35.0,10.0,25.0,250.0,4000.0,5.0,0.5,0.04,,-0.6125818141510463,-1.253584252956502,,,,,,,,-2.129271016937669
10.0,15.0,10.0,25.0,250.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,35.0,10.0,25.0,4000.0,250.0,5.0,3.0,0.04,,-2.9575983808440744,-1.6293597067518113,,,,,,,,-3.312265140738236
10.0,35.0,10.0,25.0,4000.0,4000.0,15.0,3.0,0.04,,-2.161554103586007,-1.8683679090402623,,,,,,,,-1.7587780076624717
10.0,35.0,10.0,25.0,4000.0,250.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,50.0,10.0,150.0,4000.0,250.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,50.0,3.0,25.0,250.0,4000.0,15.0,3.0,0.04,,-2.5042110104777917,-1.635987185690209,,,,,,,,-5.513409733833861
6.0,35.0,10.0,150.0,4000.0,4000.0,5.0,3.0,0.04,,-2.8065634035126936,-3.1818617599341534,,,,,,,,-4.1744537747495425
6.0,35.0,3.0,150.0,4000.0,4000.0,15.0,0.5,0.005,,-8.360975412868374,-7.478579010754768,,,,,,,,-7.3162411551870035
6.0,50.0,10.0,25.0,250.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,3.0,25.0,4000.0,4000.0,15.0,3.0,0.04,,-4.541858720158309,-4.922686472471637,,,,,,,,-4.77200577527775
2.0,35.0,7.0,150.0,4000.0,4000.0,15.0,3.0,0.005,,-3.75735002468059,-2.6267246155767143,,,,,,,,-4.197141071939446
6.0,50.0,10.0,150.0,250.0,250.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,7.0,150.0,4000.0,250.0,5.0,3.0,0.005,,-3.75735002468059,0.0,,,,,,,,-2.41777605394585
10.0,50.0,7.0,150.0,4000.0,250.0,5.0,3.0,0.005,,-3.75735002468059,0.0,,,,,,,,-2.41777605394585
10.0,50.0,10.0,150.0,4000.0,250.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
6.0,50.0,3.0,25.0,4000.0,4000.0,15.0,0.5,0.005,,-9.29808612823728,-13.108856958408783,,,,,,,,-5.831731477342787
10.0,15.0,10.0,150.0,4000.0,4000.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,50.0,10.0,150.0,4000.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,3.0,25.0,250.0,250.0,5.0,3.0,0.005,,-0.98193160523034,-1.0204460505018114,,,,,,,,-0.9738485313303599
6.0,35.0,3.0,150.0,250.0,250.0,5.0,3.0,0.04,,0.0,0.0,,,,,,,,0.0
6.0,50.0,10.0,150.0,250.0,250.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,50.0,10.0,150.0,250.0,4000.0,15.0,3.0,0.04,,-0.5908996357461014,-1.244902409888339,,,,,,,,-0.6570303822297114
10.0,50.0,7.0,25.0,250.0,4000.0,15.0,3.0,0.005,,-0.3708983628181377,-0.5883712672304664,,,,,,,,-0.14181974222177493
6.0,15.0,10.0,25.0,250.0,250.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
6.0,50.0,7.0,150.0,250.0,4000.0,15.0,3.0,0.04,,-1.8839791032929745,-0.8440845957110638,,,,,,,,-2.679413765591102
10.0,35.0,3.0,150.0,250.0,250.0,15.0,3.0,0.04,,-1.9279074991807201,-3.98033122011441,,,,,,,,-3.2319107408030505
2.0,50.0,3.0,150.0,250.0,250.0,5.0,0.5,0.04,,0.0,0.0,,,,,,,,0.0
2.0,15.0,10.0,25.0,4000.0,250.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,35.0,3.0,150.0,250.0,4000.0,15.0,0.5,0.04,,-1.715460591703363,-3.08780297137566,,,,,,,,-2.9960950258636485
6.0,35.0,7.0,25.0,250.0,4000.0,15.0,0.5,0.04,,-2.2756943732711497,-1.198272407236829,,,,,,,,-2.789986048018317
10.0,35.0,7.0,150.0,4000.0,250.0,5.0,0.5,0.04,,-3.9056899472066844,-6.459953570001152,,,,,,,,-5.884229648045251
2.0,35.0,10.0,25.0,250.0,250.0,5.0,3.0,0.04,,-0.33928431024580946,-0.29712641916591975,,,,,,,,-0.25341423413008946
10.0,35.0,7.0,25.0,250.0,4000.0,5.0,3.0,0.04,,-0.8420770329593315,-4.550765318083011,,,,,,,,-3.053408588907616
6.0,15.0,3.0,150.0,4000.0,4000.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
10.0,35.0,10.0,150.0,4000.0,4000.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,7.0,25.0,250.0,250.0,15.0,0.5,0.005,,-0.24638360817577634,-0.16946610423075564,,,,,,,,-0.24692272735802479
2.0,35.0,7.0,25.0,4000.0,4000.0,5.0,3.0,0.04,,-1.9781494162114308,-2.445384980070624,,,,,,,,-2.6233197085000137
2.0,50.0,3.0,25.0,4000.0,4000.0,15.0,0.5,0.005,,-10.495072825528105,-7.653124573731443,,,,,,,,-5.9708614282775745
2.0,35.0,3.0,25.0,250.0,4000.0,5.0,3.0,0.005,,-1.6727266230810276,-0.7218417583117347,,,,,,,,-2.2071469830579713
2.0,50.0,7.0,150.0,250.0,250.0,5.0,3.0,0.04,,-0.2498122094348335,-0.7750405005324774,,,,,,,,-1.2971201572891276
6.0,50.0,7.0,150.0,250.0,250.0,5.0,3.0,0.005,,-0.24638360817577634,0.0,,,,,,,,-0.16417794855555443
10.0,35.0,10.0,25.0,250.0,4000.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
10.0,50.0,3.0,150.0,4000.0,250.0,5.0,3.0,0.04,,0.0,0.0,,,,,,,,0.0
2.0,35.0,10.0,150.0,250.0,250.0,5.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
2.0,15.0,7.0,150.0,4000.0,4000.0,15.0,3.0,0.04,,-5.63115404686295,-6.048913067265599,,,,,,,,-4.782690776012833
2.0,50.0,10.0,25.0,250.0,250.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
6.0,15.0,10.0,25.0,250.0,250.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,35.0,7.0,150.0,250.0,250.0,5.0,3.0,0.005,,-0.24638360817577634,0.0,,,,,,,,-0.16417794855555443
10.0,35.0,3.0,150.0,4000.0,4000.0,5.0,3.0,0.04,,0.0,0.0,,,,,,,,0.0
6.0,35.0,10.0,150.0,250.0,4000.0,5.0,3.0,0.04,,-0.1863649678616708,-1.2861917678580912,,,,,,,,-0.6165473415331086
2.0,15.0,10.0,25.0,250.0,4000.0,5.0,0.5,0.04,,-0.13230614570079569,-1.6445023438485096,,,,,,,,-1.6610533129701175
2.0,15.0,10.0,150.0,4000.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,15.0,7.0,25.0,250.0,250.0,5.0,0.5,0.04,,-0.838268540244953,-1.6486508934671549,,,,,,,,-2.029052249136381
6.0,15.0,7.0,150.0,4000.0,4000.0,5.0,0.5,0.005,,-3.75735002468059,0.0,,,,,,,,-2.41777605394585
10.0,15.0,7.0,25.0,4000.0,250.0,5.0,3.0,0.04,,-5.007371109811066,-1.8176311022719485,,,,,,,,-2.3161715087552386
2.0,50.0,3.0,25.0,250.0,4000.0,15.0,0.5,0.04,,-6.012770237211419,-4.37158086766211,,,,,,,,-4.799024648077877
2.0,15.0,3.0,150.0,250.0,4000.0,15.0,3.0,0.005,,-1.5330035707451501,-1.9436213177635466,,,,,,,,-2.413069468617358
10.0,35.0,10.0,150.0,250.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
2.0,35.0,7.0,25.0,4000.0,250.0,15.0,3.0,0.005,,-0.02432120411922223,-0.0379594365955139,,,,,,,,-0.4449790168703215
10.0,15.0,10.0,150.0,250.0,4000.0,15.0,0.5,0.005,,0.0,0.0,,,,,,,,0.0
