short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.005,2.0,0.01,,23.183120125118844,,,,,,,,,22.787922737630247,12.206494681062834
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.01,2.0,0.01,,23.460195297286685,,,,,,,,,22.889843028265403,13.184694784007515
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.02,2.0,0.01,,23.535311352376805,,,,,,,,,23.40668848679104,12.193569697193288
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,0.5,0.01,,28.188188664659947,,,,,,,,,29.043925825079565,10.687617356795766
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,1.0,0.01,,28.188188664659947,,,,,,,,,29.043925825079565,10.687617356795766
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,4.0,0.01,,28.188188664659947,,,,,,,,,29.043925825079565,10.687617356795766
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,8.0,0.01,,28.188188664659947,,,,,,,,,29.043925825079565,10.687617356795766
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.05,0.1,0.04,2.0,0.01,,26.537230436042858,,,,,,,,,24.61314252518989,17.285712880938497
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.15,0.1,0.04,2.0,0.01,,26.047384517000218,,,,,,,,,25.28895318986748,12.366040427046318
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.1,0.04,2.0,0.01,,28.26248037409323,,,,,,,,,28.754753820244296,11.010511291665754
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,28.394368921614216,,,,,,,,,28.73011002939101,11.378503076106181
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.2,0.04,2.0,0.01,,27.635239039302775,,,,,,,,,28.281976143148498,10.211709209098553
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.4,0.04,2.0,0.01,,27.642419221734237,,,,,,,,,28.341182162510528,10.206033862994717
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.8,0.04,2.0,0.01,,27.642419221734237,,,,,,,,,28.341182162510528,10.206033862994717
4.0,25.0,3.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,-14.789930166744512,,,,,,,,,-19.001356513195006,-7.872099411083152
4.0,25.0,4.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,9.730337257579091,,,,,,,,,8.688599948233117,5.735479109808296
4.0,25.0,5.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,20.28442515892943,,,,,,,,,23.082201391381503,6.620933486767351
4.0,25.0,6.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,24.51170967360386,,,,,,,,,26.767502545506446,14.14401282363516
2.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,27.64110183175972,,,,,,,,,27.561878644287365,11.823388002093354
3.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,27.790346752989592,,,,,,,,,28.12265294545958,10.602280236681652
5.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,28.511969939054058,,,,,,,,,29.588320781226667,8.91995334892481
6.0,25.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,28.49885182528113,,,,,,,,,30.805147393636354,8.07954073011131
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,29.58628595521816,,,,,,,,,28.24070667608856,12.921793032280148
5.0,20.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,29.50320080999843,,,,,,,,,29.733167349340686,11.133015147337922
5.0,30.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,28.252527335833037,,,,,,,,,29.913331651592927,9.898333235305135
5.0,15.0,7.0,100.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,27.48594633232789,,,,,,,,,27.9522009639026,13.703749772247233
5.0,15.0,7.0,150.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,21.63983244011052,,,,,,,,,19.093213659082377,11.889471403320927
5.0,15.0,7.0,200.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,18.069705549225155,,,,,,,,,15.237095562831215,6.907327881805813
5.0,15.0,7.0,75.0,250.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,21.85944775039481,,,,,,,,,20.760561821633985,13.641296729111774
5.0,15.0,7.0,75.0,1000.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,27.972805979080174,,,,,,,,,26.391625213498088,2.9829005003401576
5.0,15.0,7.0,75.0,2000.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,18.48859692979648,,,,,,,,,15.567452505818647,-8.762869359284483
5.0,15.0,7.0,75.0,4000.0,7.5,1.0,0.25,0.05,0.04,2.0,0.01,,11.462083839384928,,,,,,,,,6.335998809780314,-18.641326321509176
5.0,15.0,7.0,75.0,500.0,10.0,1.0,0.25,0.05,0.04,2.0,0.01,,27.363865368801175,,,,,,,,,25.81615060362638,8.892015540204287
5.0,15.0,7.0,75.0,500.0,12.5,1.0,0.25,0.05,0.04,2.0,0.01,,25.9333505745754,,,,,,,,,24.011805532162203,8.637603864391206
5.0,15.0,7.0,75.0,500.0,15.0,1.0,0.25,0.05,0.04,2.0,0.01,,25.59265404748279,,,,,,,,,24.0284574736388,7.558623965690597
5.0,15.0,7.0,75.0,500.0,7.5,0.5,0.25,0.05,0.04,2.0,0.01,,29.568276485181183,,,,,,,,,28.204773796254063,12.921793032280148
5.0,15.0,7.0,75.0,500.0,7.5,1.5,0.25,0.05,0.04,2.0,0.01,,29.478069288134215,,,,,,,,,28.635790119082543,12.118675042709002
5.0,15.0,7.0,75.0,500.0,7.5,2.0,0.25,0.05,0.04,2.0,0.01,,28.179607632426098,,,,,,,,,28.442713315988634,11.815366070000653
5.0,15.0,7.0,75.0,500.0,7.5,2.5,0.25,0.05,0.04,2.0,0.01,,25.333222633742807,,,,,,,,,26.29427607294584,9.270305223352398
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.005,,14.11487805657409,,,,,,,,,10.013878430915245,13.629993021850275
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.025,,9.24466424995318,,,,,,,,,0.12254581036828682,32.02462087541528
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.05,,8.902286801804367,,,,,,,,,8.176860871116311,15.791054195989364
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,2.0,0.1,,4.080919611049955,,,,,,,,,3.182314513410045,11.026144313594543
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.005,2.0,0.01,,24.05775780820452,,,,,,,,,21.946492198957216,13.400597371772562
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.01,2.0,0.01,,24.4162842646793,,,,,,,,,22.024659612423545,14.65652450892133
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.02,2.0,0.01,,24.44534008897338,,,,,,,,,22.248884501378022,13.877356701141162
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,0.5,0.01,,29.58628595521816,,,,,,,,,28.24070667608856,12.921793032280148
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,1.0,0.01,,29.58628595521816,,,,,,,,,28.24070667608856,12.921793032280148
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,4.0,0.01,,29.58628595521816,,,,,,,,,28.24070667608856,12.921793032280148
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.25,0.05,0.04,8.0,0.01,,29.58628595521816,,,,,,,,,28.24070667608856,12.921793032280148
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.05,0.05,0.04,2.0,0.01,,29.166707205659396,,,,,,,,,26.71621828197928,17.798987508099128
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.15,0.05,0.04,2.0,0.01,,28.27785207873846,,,,,,,,,26.06914903044795,14.468665878577765
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,29.984104257374867,,,,,,,,,28.983107261905914,13.270217427863171
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.1,0.04,2.0,0.01,,29.936276727841715,,,,,,,,,28.95751698844815,13.146766801998654
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.2,0.04,2.0,0.01,,29.928650473468934,,,,,,,,,29.027108816510836,12.82893951775064
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.4,0.04,2.0,0.01,,29.946510046113854,,,,,,,,,29.0590468758436,12.87215442761007
5.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.8,0.04,2.0,0.01,,29.946510046113854,,,,,,,,,29.0590468758436,12.87215442761007
5.0,15.0,3.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,-7.237811278936965,,,,,,,,,-11.343049336590362,2.3740341523786057
5.0,15.0,4.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,11.175372602521723,,,,,,,,,9.845321077822993,4.342872137369877
5.0,15.0,5.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,20.837765929043677,,,,,,,,,24.132551255109348,4.120727254277142
5.0,15.0,6.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,24.41747801518498,,,,,,,,,24.9107400761035,12.057398412243131
2.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,29.23792278596293,,,,,,,,,28.13263803784092,13.11251100352641
3.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,29.99929729414344,,,,,,,,,28.530626486368504,11.904878440096377
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,30.246845034047443,,,,,,,,,28.659456436430172,13.047947120870814
6.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,30.185711503470078,,,,,,,,,30.456703446072154,11.470506180234544
4.0,20.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,29.001885434936177,,,,,,,,,28.817284321091986,11.350376689647138
4.0,25.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,28.496520239959118,,,,,,,,,29.183349590382953,10.981530435630583
